DATE,QTAXT01QTAXCAT1USNO
2004-01-01,82281
2004-04-01,61509
2004-07-01,61799
2004-10-01,120567
2005-01-01,87426
2005-04-01,67898
2005-07-01,65816
2005-10-01,131009
2006-01-01,94122
2006-04-01,72588
2006-07-01,66662
2006-10-01,142804
2007-01-01,100322
2007-04-01,78753
2007-07-01,69286
2007-10-01,153441
2008-01-01,100236
2008-04-01,80696
2008-07-01,76929
2008-10-01,173688
2009-01-01,118575
2009-04-01,86477
2009-07-01,84302
2009-10-01,182480
2010-01-01,115197
2010-04-01,90898
2010-07-01,88204
2010-10-01,177530
2011-01-01,114579
2011-04-01,89381
2011-07-01,85726
2011-10-01,177291
2012-01-01,113256
2012-04-01,90026
2012-07-01,92612
2012-10-01,177342
2013-01-01,115676
2013-04-01,91371
2013-07-01,97874
2013-10-01,180398
2014-01-01,116930
2014-04-01,94172
2014-07-01,99400
2014-10-01,189890
2015-01-01,118952
2015-04-01,95393
2015-07-01,102404
2015-10-01,200548
2016-01-01,126043
2016-04-01,100800
2016-07-01,105192
2016-10-01,207330
2017-01-01,133108
2017-04-01,102515
2017-07-01,109592
2017-10-01,225846
2018-01-01,136742
2018-04-01,103645
2018-07-01,111903
2018-10-01,229265
2019-01-01,147370
2019-04-01,111053
2019-07-01,116354
2019-10-01,242245
2020-01-01,152851
2020-04-01,109899
2020-07-01,124826
2020-10-01,255379
2021-01-01,165710
2021-04-01,117063
2021-07-01,120784.0
2021-10-01,263940.0
2022-01-01,165206.0
2022-04-01,125380.0
2022-07-01,123641.0
2022-10-01,296223.0
2023-01-01,190434.0
2023-04-01,141468.0
2023-07-01,142627.0
2023-10-01,303075.0
